text,label,group_id,context,source,risk_slice,is_hard_negative
帮我确认实验 333 是否已经结束。,read_only,read_only-tpl-12,,synthetic,,false
麻烦恢复实验 222 的运行,write_action,write_action-tpl-13,,synthetic,,false
现在有多少个进行中的实验？，谢谢,read_only,read_only-tpl-15,,synthetic,,false
翻译这段英文,oos,oos-tpl-08,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦推荐一部电影,oos,oos-tpl-16,,synthetic,,false
麻烦帮我查一下股价,oos,oos-tpl-07,你是想查看状态还是撤回 Review？,synthetic,,false
把实验报告发送给团队群,write_action,write_action-tpl-18,,synthetic,,false
帮我看下最近的实验列表,read_only,read_only-tpl-07,,synthetic,,false
麻烦创建一个新实验,write_action,write_action-tpl-01,,synthetic,,false
查一下快递单号 12345。,oos,oos-tpl-19,你是想查看状态还是撤回 Review？,synthetic,,false
实验 444 的创建人是谁？。,read_only,read_only-tpl-13,,synthetic,,false
什么是置信区间？。,information,information-tpl-06,你是想查看状态还是撤回 Review？,synthetic,,false
实验 789 的核心指标是多少？。,read_only,read_only-tpl-03,,synthetic,,false
给实验 101 复制一份新版本,write_action,write_action-tpl-19,,synthetic,,false
怎么估算实验所需样本量？。,information,information-tpl-17,,synthetic,,false
麻烦把实验 333 的观察期延长一周,write_action,write_action-tpl-14,,synthetic,,false
帮我写一份周报。,oos,oos-tpl-02,你是想查看状态还是撤回 Review？,synthetic,,false
实验报告支持导出吗？，谢谢,information,information-tpl-10,,synthetic,,false
帮我发一封邮件给老板，谢谢,oos,oos-tpl-11,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦播放一首歌,oos,oos-tpl-04,,synthetic,,false
实验好像没跑起来,unclear,unclear-tpl-12,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦这边显示有问题,unclear,unclear-tpl-15,你是想查看状态还是撤回 Review？,synthetic,,false
帮我催一下审批。,write_action,write_action-tpl-10,,synthetic,readonly_vs_write,true
Review 流程是什么样的？。,information,information-tpl-03,,synthetic,,false
分析实验 123 为什么异常。,unclear,unclear-tpl-08,,synthetic,,false
帮我弄个东西，谢谢,unclear,unclear-tpl-19,,synthetic,missing_object,true
指标异动一般有哪些原因？。,information,information-tpl-16,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦给实验 101 复制一份新版本,write_action,write_action-tpl-19,,synthetic,,false
实验 456 现在跑得怎么样了？,read_only,read_only-tpl-01,,synthetic,,false
打开窗户，谢谢,oos,oos-tpl-12,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦提交实验 654 的 Review,write_action,write_action-tpl-11,,synthetic,,false
麻烦附近有什么好吃的餐厅,oos,oos-tpl-06,你是想查看状态还是撤回 Review？,synthetic,,false
帮我订外卖，谢谢,oos,oos-tpl-05,,synthetic,,false
把实验 123 暂停掉,write_action,write_action-tpl-03,,synthetic,,false
麻烦查一下快递单号 12345,oos,oos-tpl-19,,synthetic,,false
Review 流程是什么样的？，谢谢,information,information-tpl-03,,synthetic,,false
把它改一下,unclear,unclear-tpl-02,,synthetic,missing_object,true
麻烦帮我把实验组流量调到 80%,write_action,write_action-tpl-15,,synthetic,,false
麻烦查实验 555 的运行日志,read_only,read_only-tpl-14,,synthetic,,false
推荐一部电影,oos,oos-tpl-16,,synthetic,,false
把它改一下。,unclear,unclear-tpl-02,,synthetic,missing_object,true
实验 111 有没有触发告警？,read_only,read_only-tpl-08,,synthetic,,false
帮我确认下情况,unclear,unclear-tpl-17,,synthetic,,false
麻烦看看能不能救一下这个实验,unclear,unclear-tpl-09,,synthetic,,false
报销单怎么填,oos,oos-tpl-14,,synthetic,oos_near_domain,false
帮我抢一张演唱会门票，谢谢,oos,oos-tpl-15,,synthetic,,false
麻烦分析实验 123 为什么异常,unclear,unclear-tpl-08,,synthetic,,false
恢复实验 222 的运行，谢谢,write_action,write_action-tpl-13,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦把实验 321 标记为已完成,write_action,write_action-tpl-09,,synthetic,,false
推荐一部电影。,oos,oos-tpl-16,,synthetic,,false
帮我读一下实验报告里的结论,read_only,read_only-tpl-18,,synthetic,,false
帮我撤回 Review 123,write_action,write_action-tpl-05,,synthetic,readonly_vs_write,true
麻烦libra 怎么创建实验？,information,information-tpl-00,,synthetic,qa_vs_write,true
帮我看看这个,unclear,unclear-tpl-01,,synthetic,missing_object,false
给实验加一个告警规则，谢谢,write_action,write_action-tpl-08,你是想查看状态还是撤回 Review？,synthetic,,false
帮我想想办法，谢谢,unclear,unclear-tpl-13,你是想查看状态还是撤回 Review？,synthetic,,false
麻烦今天限行尾号是多少,oos,oos-tpl-17,你是想查看状态还是撤回 Review？,synthetic,,false
